"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1996","Blue Jays","1664","6295","177","766","712","116","8.4 %","17.6 %",".161",".293",".259",".331",".420",".331","90","4.6","-79.8","-39.7","11.1"
"1995","Royals","1720","5528","119","629","578","120","8.6 %","15.4 %",".136",".291",".260",".328",".396",".321","86","-0.4","-100.2","22.9","11.0"
"1995","Expos","2022","5452","118","621","572","120","7.3 %","16.5 %",".136",".294",".259",".320",".394",".315","85","1.4","-101.6","28.9","11.0"
"1993","Brewers","1795","6222","125","733","688","138","8.9 %","15.0 %",".120",".288",".258",".328",".378",".316","89","-9.8","-94.0","5.6","10.9"
"2017","Royals","2342","6027","193","702","660","91","6.5 %","19.3 %",".160",".295",".259",".311",".420",".312","91","2.5","-61.9","-35.9","10.9"
"2019","Indians","1456","3896","134","474","444","73","9.4 %","21.6 %",".175",".289",".249",".324",".424",".317","93","7.4","-27.8","2.3","10.9"
"2009","Pirates","2195","6058","125","636","612","90","8.2 %","18.9 %",".135",".296",".252",".318",".387",".310","86","-6.2","-113.0","32.9","10.9"
"2016","Padres","2355","6000","177","686","654","125","7.5 %","25.0 %",".155",".291",".235",".299",".390",".297","84","24.8","-92.3","11.9","10.8"
"1994","Cubs","1606","4386","109","500","464","69","8.3 %","17.1 %",".145",".294",".259",".325",".404",".320","89","-9.5","-72.3","35.7","10.8"
"2017","Pirates","2371","6136","151","668","635","67","8.5 %","19.8 %",".142",".286",".244",".318",".386",".304","85","-2.2","-117.7","26.3","10.8"
"2006","Diamondbacks","2282","6330","160","773","743","76","8.0 %","15.2 %",".157",".294",".267",".331",".424",".326","87","-6.6","-112.3","12.3","10.8"
"1999","Marlins","2214","6216","128","691","655","92","7.7 %","18.4 %",".132",".307",".263",".325",".395",".317","84","-2.3","-135.2","44.3","10.8"
"1997","Reds","2303","6153","142","651","612","190","8.4 %","18.1 %",".137",".292",".253",".321",".389",".314","85","9.5","-110.9","23.9","10.7"
"2017","Phillies","2308","6133","174","690","654","59","8.1 %","23.1 %",".159",".304",".250",".315",".409",".310","88","-9.5","-102.0","9.8","10.7"
"1991","Yankees","1705","6140","147","674","630","109","7.7 %","14.0 %",".131",".277",".256",".316",".387",".316","94","7.4","-37.6","-58.0","10.6"
"1996","Pirates","2279","6336","138","776","738","126","8.0 %","15.6 %",".141",".299",".266",".329",".407",".322","90","1.7","-77.4","-3.6","10.6"
"2000","Pirates","2202","6369","168","793","749","86","8.9 %","16.2 %",".157",".299",".267",".339",".424",".333","91","-0.4","-82.5","-14.3","10.6"
"2012","Marlins","2269","6057","137","609","576","149","8.0 %","20.3 %",".138",".289",".244",".308",".382",".300","87","2.5","-92.9","10.9","10.5"
"2007","Giants","2371","6213","131","683","641","119","8.6 %","14.6 %",".133",".281",".254",".322",".387",".310","81","-4.7","-158.1","60.6","10.5"
