"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"2010","Red Sox","2327","6356","211","818","782","68","9.2 %","17.9 %",".183",".299",".268",".339",".451",".345","109","-7.2","59.7","-49.5","24.6"
"2013","Dodgers","2336","6145","138","649","618","78","7.7 %","18.6 %",".133",".308",".264",".326",".396",".317","103","-8.0","14.7","29.6","24.6"
"2016","Blue Jays","2349","6233","221","759","728","54","10.1 %","21.9 %",".178",".289",".248",".330",".426",".327","104","-9.0","21.9","3.1","24.6"
"2017","Twins","2324","6261","206","815","781","95","9.5 %","21.4 %",".174",".306",".260",".334",".434",".329","102","14.4","30.6","0.5","24.5"
"1996","White Sox","1786","6497","195","898","860","105","10.8 %","14.3 %",".166",".303",".281",".360",".447",".352","106","0.9","55.0","-40.5","24.5"
"2000","Braves","2039","6275","179","810","758","148","9.5 %","16.1 %",".157",".302",".271",".346",".429",".339","96","4.6","-33.9","83.2","24.5"
"2016","Indians","2366","6155","185","777","733","134","8.6 %","20.2 %",".168",".304",".262",".329",".430",".326","100","15.8","14.1","12.5","24.4"
"2019","Dodgers","1510","4105","175","567","550","35","10.0 %","20.7 %",".207",".294",".262",".343",".469",".340","113","3.6","72.9","44.5","24.4"
"2009","Red Sox","2317","6344","212","872","822","126","10.4 %","17.7 %",".184",".301",".270",".352",".454",".351","106","-7.7","40.7","-21.2","24.3"
"2000","Reds","2313","6373","200","825","794","100","8.8 %","15.6 %",".173",".299",".274",".343",".447",".341","94","3.3","-46.5","89.9","24.3"
"1993","Cardinals","2288","6279","118","758","724","153","9.4 %","14.0 %",".123",".302",".272",".341",".395",".329","99","2.1","-2.7","23.5","24.3"
"2009","Cardinals","2358","6168","160","730","694","75","8.6 %","16.9 %",".152",".296",".263",".332",".415",".325","98","13.4","-1.6","52.1","24.3"
"2010","Tigers","2274","6312","152","751","717","69","8.7 %","18.2 %",".147",".311",".268",".335",".415",".330","102","9.7","23.9","-15.7","24.3"
"1999","Phillies","2206","6386","161","841","797","125","9.9 %","16.9 %",".156",".313",".275",".351",".431",".343","96","9.3","-27.9","73.4","24.2"
"2006","Yankees","2430","6455","210","930","902","139","10.1 %","16.3 %",".177",".315",".285",".363",".461",".356","113","7.4","118.9","-91.9","24.2"
"1999","Red Sox","1862","6321","176","836","808","67","9.4 %","14.7 %",".170",".303",".278",".350",".448",".349","102","-4.1","8.2","23.0","24.2"
"2012","Reds","2211","6115","172","669","636","87","7.9 %","20.7 %",".159",".296",".251",".315",".411",".314","93","13.5","-36.0","82.7","24.2"
"2002","Red Sox","2172","6332","177","859","810","80","8.6 %","14.9 %",".168",".302",".277",".345",".444",".343","107","-0.4","54.5","-28.8","24.2"
"1991","Athletics","1810","6192","159","760","716","151","10.4 %","15.8 %",".141",".274",".248",".331",".389",".324","104","4.7","33.7","-0.6","24.1"
"2018","Nationals","2441","6288","191","771","737","119","10.0 %","20.5 %",".164",".297",".254",".335",".419",".325","101","8.4","14.0","21.6","24.1"
"2015","Pirates","2431","6285","140","697","661","98","7.3 %","21.0 %",".136",".314",".260",".323",".396",".313","97","3.5","-17.4","49.3","24.0"
"2017","Nationals","2322","6214","215","819","796","108","8.7 %","21.4 %",".183",".311",".266",".332",".449",".331","99","11.9","5.0","33.7","24.0"
"2003","Twins","2269","6324","155","801","755","94","8.1 %","16.2 %",".154",".312",".277",".341",".431",".335","102","1.8","19.8","5.4","24.0"
"2012","Rays","2406","6105","175","697","665","134","9.4 %","21.7 %",".155",".284",".240",".317",".394",".311","100","-0.7","-1.0","21.4","23.9"
"2002","Phillies","2260","6323","165","710","676","104","10.1 %","17.3 %",".163",".294",".259",".339",".422",".331","101","1.1","5.4","27.8","23.9"
"1992","Twins","1816","6267","104","747","701","123","8.4 %","13.3 %",".115",".306",".277",".341",".391",".331","103","-5.4","14.9","11.8","23.9"
"2011","Angels","2187","6088","155","667","629","135","7.3 %","17.8 %",".149",".288",".253",".313",".402",".313","98","-3.8","-14.6","37.3","23.9"
"2010","Braves","2376","6252","139","738","699","63","10.1 %","18.2 %",".143",".301",".258",".339",".401",".327","100","-2.1","-2.9","46.6","23.8"
"2016","Mets","2430","6115","218","671","649","42","8.5 %","21.3 %",".171",".282",".246",".316",".417",".315","99","-8.6","-17.7","60.3","23.8"
"1999","Braves","2204","6351","197","840","791","148","9.6 %","15.1 %",".170",".288",".266",".341",".436",".338","95","-0.2","-44.1","85.4","23.8"
"2012","Nationals","2338","6221","194","731","688","105","7.7 %","21.3 %",".166",".308",".261",".322",".428",".324","101","-4.1","4.7","34.8","23.8"
"2001","Indians","1901","6357","212","897","868","79","9.1 %","16.9 %",".179",".308",".278",".350",".458",".347","112","-2.4","90.7","-67.4","23.7"
"1999","Blue Jays","1862","6370","212","883","856","119","9.1 %","16.9 %",".177",".311",".280",".352",".457",".353","104","2.2","37.0","-10.1","23.7"
"2002","Dodgers","2302","6147","155","713","693","96","7.0 %","15.3 %",".146",".291",".264",".320",".409",".317","96","-3.5","-36.3","73.4","23.7"
"2000","Dodgers","2057","6312","211","798","756","95","10.6 %","17.2 %",".174",".283",".257",".341",".431",".337","99","0.5","-4.5","46.3","23.7"
"2006","Braves","2435","6284","222","849","818","52","8.4 %","18.6 %",".184",".304",".270",".337",".455",".339","100","-13.4","-13.1","48.1","23.7"
"2015","Cardinals","2406","6139","137","647","619","69","8.2 %","20.6 %",".142",".303",".253",".321",".394",".311","97","0.9","-21.2","53.8","23.6"
"2001","Astros","2121","6325","208","847","805","64","9.2 %","17.7 %",".180",".304",".271",".347",".451",".343","101","-8.8","-1.9","36.1","23.6"
"2016","Astros","2334","6204","198","724","689","102","8.9 %","23.4 %",".170",".298",".247",".319",".417",".317","101","-5.4","2.8","13.5","23.6"
"2008","Indians","2199","6299","171","805","772","77","8.9 %","19.3 %",".162",".305",".262",".339",".424",".334","103","0.7","24.6","-7.8","23.5"
"2000","Mets","2345","6328","198","807","761","66","10.7 %","16.4 %",".167",".290",".263",".346",".430",".339","99","-7.2","-16.2","55.3","23.5"
"1992","Padres","2152","6074","135","617","576","69","7.5 %","14.2 %",".131",".279",".255",".313",".386",".314","95","-7.5","-42.4","75.2","23.5"
"1994","Yankees","1192","4611","139","670","632","55","11.5 %","14.3 %",".172",".315",".290",".374",".462",".366","118","-6.5","101.5","-16.0","23.4"
"2011","Tigers","2309","6231","169","787","750","49","8.4 %","18.3 %",".157",".318",".277",".340",".434",".337","109","-15.2","48.5","-34.8","23.4"
"1991","Reds","2195","6134","164","689","654","124","8.0 %","16.4 %",".145",".287",".258",".320",".403",".322","100","2.5","-0.8","26.2","23.4"
"2004","Angels","2217","6296","162","836","783","143","7.1 %","15.0 %",".147",".312",".282",".341",".429",".334","103","2.2","23.8","1.4","23.4"
"1990","Giants","2269","6216","152","719","681","109","7.9 %","15.7 %",".134",".291",".262",".323",".396",".321","100","-2.7","-3.3","8.8","23.4"
"2003","Marlins","2190","6186","157","751","709","150","8.3 %","15.8 %",".155",".296",".266",".333",".421",".327","99","2.8","-7.6","41.8","23.4"
"2012","Rangers","2236","6216","200","808","780","91","7.7 %","17.7 %",".173",".306",".273",".334",".446",".336","106","-5.8","39.5","-28.5","23.3"
"2019","Twins","1436","4076","201","592","570","24","8.0 %","20.2 %",".230",".299",".272",".339",".502",".351","118","-6.4","85.5","10.0","23.3"
"2006","Cardinals","2359","6225","184","781","745","59","8.5 %","14.8 %",".163",".292",".269",".337",".431",".331","98","5.9","-13.3","46.0","23.3"
"2017","Mets","2396","6169","224","735","713","58","8.6 %","20.9 %",".184",".286",".250",".320",".434",".322","101","-11.3","-4.3","36.7","23.2"
"1998","White Sox","1891","6281","198","861","806","127","8.8 %","14.6 %",".172",".291",".271",".339",".444",".341","103","5.3","30.6","-10.6","23.2"
"2004","White Sox","2245","6197","242","865","823","78","8.1 %","16.6 %",".189",".288",".268",".333",".457",".340","101","-1.6","7.3","19.4","23.2"
"2005","Reds","2309","6321","222","820","784","72","9.7 %","20.6 %",".185",".302",".261",".339",".446",".340","103","12.9","35.5","-10.3","23.2"
"2008","Astros","2312","6051","167","712","684","114","7.4 %","17.4 %",".152",".296",".263",".323",".415",".322","94","0.4","-49.2","88.6","23.2"
"1997","Orioles","2003","6340","196","812","780","63","9.2 %","15.0 %",".160",".290",".268",".341",".429",".338","102","1.9","17.8","-4.3","23.2"
"1996","Orioles","1702","6494","257","949","914","77","9.9 %","14.1 %",".198",".284",".274",".350",".472",".355","106","-4.2","52.2","-51.1","23.1"
"2007","Rockies","2407","6498","171","860","823","100","9.6 %","17.7 %",".158",".322",".280",".354",".437",".346","97","10.1","-19.4","41.6","23.1"
"2002","Athletics","2312","6291","205","800","772","46","9.7 %","16.0 %",".171",".284",".261",".339",".432",".337","106","10.1","59.2","-42.7","23.1"
"2013","Reds","2286","6293","155","698","664","67","9.3 %","19.8 %",".142",".293",".249",".327",".391",".316","96","-2.0","-32.9","58.5","23.1"
"1992","Cardinals","2090","6230","94","631","599","208","7.9 %","16.0 %",".113",".301",".262",".323",".375",".316","99","-5.0","-13.8","34.9","23.0"
"2013","Indians","2337","6165","171","745","711","117","9.1 %","20.8 %",".155",".300",".255",".327",".410",".324","104","11.5","39.3","-26.0","23.0"
"2005","Athletics","2164","6275","155","772","739","31","8.6 %","13.1 %",".145",".281",".262",".330",".407",".323","99","12.0","3.9","13.7","23.0"
"2010","Padres","2352","6148","132","665","630","124","8.8 %","19.2 %",".125",".290",".246",".317",".371",".304","92","9.3","-50.2","89.1","23.0"
"2009","Braves","2335","6335","149","735","700","58","9.5 %","16.8 %",".142",".300",".263",".339",".405",".327","97","-20.2","-44.2","76.4","23.0"
"2013","Pirates","2369","6135","161","634","603","94","7.6 %","21.7 %",".151",".294",".245",".313",".396",".312","99","1.8","-3.4","32.6","23.0"
"2008","Rangers","2281","6478","194","901","867","81","9.2 %","18.6 %",".179",".325",".283",".354",".462",".355","112","11.1","108.1","-103.4","23.0"
"2001","White Sox","1906","6151","214","798","770","123","8.5 %","16.2 %",".183",".290",".268",".334",".451",".337","104","-1.3","28.4","-7.1","23.0"
"2000","Astros","2303","6444","249","938","900","114","10.4 %","17.5 %",".199",".305",".278",".361",".477",".361","105","-0.3","45.3","-10.9","23.0"
"2001","Phillies","2083","6219","164","746","708","153","8.9 %","18.1 %",".154",".297",".260",".329",".414",".321","92","9.9","-52.1","81.8","22.9"
"2010","Blue Jays","2206","6072","257","755","732","58","7.8 %","19.2 %",".206",".269",".248",".312",".454",".334","105","-12.3","25.1","-21.3","22.9"
"1997","Mets","2268","6248","153","777","741","97","8.8 %","16.5 %",".143",".294",".262",".332",".405",".325","95","-12.1","-48.5","81.7","22.9"
"1997","Yankees","1773","6527","161","891","846","99","10.4 %","14.6 %",".150",".316",".286",".362",".436",".351","111","-4.3","88.7","-83.6","22.8"
"1992","Yankees","1666","6262","163","733","703","78","8.6 %","14.4 %",".144",".284",".261",".328",".406",".330","107","-0.2","47.5","-34.2","22.8"
"2000","Athletics","2066","6432","239","947","908","40","11.7 %","18.0 %",".188",".300",".270",".360",".458",".356","109","1.9","80.7","-62.9","22.8"
"2006","Twins","2226","6228","143","801","754","101","7.9 %","14.0 %",".138",".316",".287",".347",".425",".334","101","-1.4","5.9","13.5","22.7"
"1995","Angels","1551","5690","186","801","761","57","9.9 %","15.6 %",".171",".302",".277",".352",".448",".351","106","-7.0","36.2","2.4","22.7"
"2010","Phillies","2277","6291","166","772","736","108","8.9 %","16.9 %",".153",".292",".260",".332",".413",".327","99","13.3","5.5","26.5","22.7"
"2018","Rays","2371","6195","150","716","664","128","8.7 %","22.4 %",".148",".317",".258",".333",".406",".322","105","-0.3","39.8","-24.4","22.7"
"1994","White Sox","1205","4556","121","633","602","77","10.9 %","12.5 %",".156",".307",".287",".366",".444",".353","112","3.7","77.7","0.0","22.6"
"2019","Astros","1468","4090","171","546","533","48","9.7 %","18.4 %",".205",".293",".269",".345",".475",".344","120","-5.1","97.1","-9.7","22.5"
"1995","Mariners","1569","5671","182","796","767","110","9.7 %","15.4 %",".173",".300",".276",".350",".448",".349","106","3.2","45.3","-7.5","22.5"
"1990","Tigers","1816","6224","172","750","714","82","10.2 %","15.3 %",".150",".283",".259",".337",".409",".335","109","-8.6","55.7","-37.9","22.5"
"2002","White Sox","2208","6208","217","856","819","75","8.9 %","15.3 %",".181",".287",".268",".338",".449",".342","105","-1.2","40.1","-26.9","22.5"
"1990","Dodgers","2250","6179","129","728","669","141","8.7 %","15.4 %",".121",".293",".262",".328",".382",".318","97","0.1","-19.2","18.3","22.5"
"2003","White Sox","2277","6148","220","791","766","77","8.4 %","14.9 %",".182",".279",".263",".331",".446",".336","101","-5.1","3.1","12.9","22.5"
"2001","Rangers","1897","6388","246","890","844","97","8.6 %","17.1 %",".195",".300",".275",".344",".471",".349","108","5.2","70.8","-61.8","22.4"
"2014","Blue Jays","2397","6167","177","723","690","78","8.1 %","18.7 %",".155",".295",".259",".323",".414",".325","107","0.0","44.9","-34.4","22.4"
"2016","Nationals","2302","6202","203","763","735","121","8.6 %","20.2 %",".170",".293",".256",".325",".426",".322","96","16.0","-16.7","43.0","22.4"
"2003","Padres","2384","6246","128","678","641","76","9.0 %","17.2 %",".127",".301",".261",".333",".388",".318","95","2.0","-38.3","60.8","22.4"
"1999","Giants","2107","6449","188","872","828","109","10.8 %","15.9 %",".163",".301",".271",".356",".434",".347","104","-3.4","30.2","-1.1","22.4"
"1991","Orioles","1854","6257","170","686","660","50","8.4 %","15.6 %",".147",".278",".254",".319",".401",".323","101","-3.2","0.7","14.6","22.3"
"2013","Brewers","2335","6064","157","640","610","142","6.7 %","19.5 %",".145",".294",".252",".311",".398",".311","91","-6.9","-66.0","91.1","22.3"
"1992","Phillies","2060","6172","118","686","639","127","8.2 %","17.2 %",".124",".292",".253",".320",".377",".316","98","11.9","-0.8","14.7","22.3"
"2009","Twins","2315","6346","172","817","770","85","9.2 %","16.1 %",".155",".306",".274",".345",".429",".338","104","15.3","42.9","-44.4","22.2"
"1996","Astros","2177","6270","129","753","703","180","8.8 %","16.9 %",".135",".301",".262",".336",".397",".322","98","6.1","-9.8","50.4","22.2"
"2016","Cardinals","2400","6223","225","779","745","35","8.5 %","21.2 %",".187",".294",".255",".325",".443",".329","105","-17.1","18.9","4.8","22.2"
"1995","Astros","2092","5857","109","747","694","176","9.7 %","16.9 %",".124",".320",".275",".353",".399",".334","104","7.5","39.2","-9.5","22.2"
"2010","Diamondbacks","2271","6183","180","713","691","86","9.5 %","24.7 %",".166",".312",".250",".325",".416",".325","93","-8.3","-62.8","92.6","22.1"
"1991","Giants","2283","6098","141","649","605","95","7.7 %","16.0 %",".134",".275",".246",".309",".381",".308","96","-3.7","-31.5","47.6","22.1"
"2012","Padres","2384","6112","121","651","610","155","8.8 %","20.3 %",".133",".297",".247",".319",".380",".307","97","13.8","-8.4","35.4","22.1"
"2002","Diamondbacks","2331","6318","165","819","783","92","10.2 %","16.1 %",".156",".298",".267",".346",".423",".335","97","1.8","-21.0","36.6","22.1"
"1999","Dodgers","2104","6338","187","793","761","167","9.4 %","16.3 %",".154",".294",".266",".339",".420",".334","97","2.7","-21.9","48.2","22.1"
"1998","Blue Jays","1875","6323","221","816","776","184","8.9 %","17.9 %",".182",".295",".266",".340",".448",".343","102","1.6","20.6","-13.7","22.1"
"1991","Red Sox","1731","6259","126","731","691","59","9.5 %","13.1 %",".133",".293",".269",".340",".401",".333","100","-3.8","-1.0","13.6","22.1"
"2004","Orioles","2278","6431","169","842","803","101","8.2 %","14.8 %",".150",".309",".281",".345",".432",".337","103","6.4","31.9","-25.2","22.0"
"2015","Royals","2263","6116","139","724","689","104","6.3 %","15.9 %",".144",".301",".269",".322",".412",".318","99","-0.3","-8.3","16.0","22.0"
"1997","Marlins","2179","6300","136","740","703","115","10.9 %","17.0 %",".135",".298",".259",".346",".395",".329","99","-1.5","-12.0","35.0","21.9"
"2012","Diamondbacks","2213","6150","165","734","710","93","8.8 %","20.6 %",".159",".307",".259",".328",".418",".323","97","-5.6","-30.7","54.7","21.9"
"1996","Twins","1769","6403","118","877","812","143","9.0 %","15.0 %",".137",".325",".288",".357",".425",".344","97","3.1","-25.2","12.8","21.9"
"1995","Yankees","1519","5699","122","749","709","50","11.0 %","14.9 %",".144",".308",".276",".357",".420",".345","106","-4.6","39.4","-9.3","21.9"
"2002","Rangers","2389","6336","230","843","807","62","8.7 %","16.7 %",".186",".292",".269",".338",".455",".343","103","3.0","25.8","-22.9","21.9"
"2006","Tigers","2214","6198","203","822","785","60","6.9 %","18.3 %",".174",".310",".274",".329",".449",".334","99","-1.6","-12.2","23.4","21.8"
"2001","Twins","1791","6185","164","771","717","146","8.0 %","17.5 %",".161",".310",".272",".337",".433",".332","99","-0.2","-5.2","13.0","21.8"
"2004","Yankees","2281","6364","242","897","863","84","10.5 %","15.4 %",".189",".285",".268",".353",".458",".350","112","-7.1","94.1","-88.1","21.7"
"2013","Angels","2311","6260","164","733","696","82","8.4 %","19.5 %",".150",".307",".264",".329",".414",".325","109","-9.7","54.8","-56.7","21.7"
"2007","Indians","2225","6367","178","811","784","72","9.3 %","18.9 %",".159",".310",".268",".343",".428",".336","104","0.3","31.9","-29.6","21.7"
"1998","Cubs","2283","6394","212","831","788","65","9.4 %","19.1 %",".169",".302",".264",".337",".433",".336","100","-6.2","-5.1","26.0","21.7"
"2015","Diamondbacks","2393","6276","154","720","680","132","7.8 %","20.9 %",".150",".316",".264",".324",".414",".319","95","12.5","-23.3","33.7","21.7"
"1996","Cubs","2332","6229","175","772","725","108","8.4 %","17.5 %",".150",".281",".251",".320",".401",".316","88","-2.3","-99.3","130.6","21.7"
"2004","Tigers","2255","6285","201","827","800","86","8.2 %","18.2 %",".177",".308",".272",".337",".449",".339","106","3.9","49.5","-41.5","21.7"
"2010","Rangers","2312","6302","162","787","740","123","8.1 %","15.6 %",".143",".307",".276",".338",".419",".333","98","4.5","-7.1","-9.5","21.7"
"2015","Rangers","2358","6187","172","751","707","101","8.1 %","19.9 %",".156",".300",".257",".325",".413",".321","98","21.6","4.8","-2.9","21.6"
"2007","Angels","2230","6198","123","822","776","139","8.2 %","14.2 %",".133",".315",".284",".345",".417",".333","100","3.7","5.3","2.0","21.6"
"1997","Angels","1879","6387","161","829","775","126","9.7 %","14.9 %",".144",".300",".272",".346",".416",".336","100","-5.4","-8.6","4.6","21.6"
"1992","Expos","2193","6120","102","648","601","196","7.6 %","15.9 %",".117",".287",".252",".313",".370",".309","94","13.6","-25.7","36.9","21.6"
"1994","Reds","1585","4512","124","609","569","119","8.6 %","16.4 %",".164",".320",".286",".350",".449",".346","107","1.4","40.3","31.8","21.6"
"2016","Marlins","2460","6133","128","655","626","71","7.3 %","19.8 %",".131",".314",".263",".322",".394",".309","95","2.4","-40.1","60.3","21.6"
"2016","Tigers","2295","6127","211","750","719","58","8.0 %","21.3 %",".171",".312",".267",".331",".438",".330","106","-16.9","27.0","-27.8","21.5"
"2012","Phillies","2294","6172","158","684","659","116","7.4 %","17.7 %",".144",".290",".255",".317",".400",".311","93","10.7","-40.8","60.4","21.5"
"2017","Mariners","2323","6166","200","750","714","89","7.9 %","20.5 %",".165",".300",".259",".325",".424",".321","104","-12.6","15.0","-12.0","21.4"
"2005","Cubs","2276","6161","194","703","674","65","6.8 %","14.9 %",".170",".291",".270",".324",".440",".329","95","-5.6","-47.4","59.4","21.3"
"2016","Mariners","2371","6227","223","768","735","56","8.1 %","20.7 %",".171",".297",".259",".326",".430",".325","108","-13.5","44.6","-51.3","21.3"
"1990","Phillies","2211","6245","103","646","619","108","9.3 %","14.7 %",".108",".287",".255",".327",".363",".310","89","5.3","-76.0","64.2","21.3"
"2008","Yankees","2330","6257","180","789","758","118","8.6 %","16.2 %",".156",".302",".271",".342",".427",".338","104","-6.7","24.3","-28.6","21.3"
"2006","Indians","2135","6303","196","870","839","55","8.8 %","19.1 %",".177",".324",".280",".349",".457",".347","108","-2.9","62.8","-61.4","21.2"
"2001","Marlins","2034","6184","166","742","713","89","7.6 %","18.5 %",".159",".303",".264",".326",".423",".323","95","0.1","-38.4","52.7","21.2"
"2017","Rays","2345","6147","228","694","671","88","8.9 %","25.0 %",".178",".296",".245",".317",".422",".316","98","11.2","-5.2","6.7","21.2"
"2014","Athletics","2358","6245","146","729","686","83","9.4 %","17.7 %",".137",".278",".244",".320",".381",".312","102","11.0","27.2","-30.6","21.2"
"2007","Cubs","2379","6268","151","752","711","86","8.0 %","16.8 %",".150",".308",".271",".333",".422",".329","90","-3.9","-87.0","96.7","21.1"
"1990","Orioles","1735","6223","132","669","623","94","10.6 %","15.5 %",".125",".275",".245",".330",".370",".317","99","-3.8","-10.3","18.0","21.1"
"2016","Orioles","2257","6089","253","744","710","19","7.7 %","21.7 %",".188",".291",".256",".317",".443",".326","103","2.5","22.6","-26.9","21.1"
"1995","White Sox","1570","5770","146","755","712","110","10.0 %","13.3 %",".151",".302",".280",".354",".431",".345","107","3.5","55.3","-35.5","21.0"
"1993","Mariners","1784","6288","161","734","681","91","9.9 %","14.3 %",".146",".283",".260",".339",".406",".330","99","-8.7","-17.3","28.0","21.0"
"2003","Pirates","2346","6315","163","753","711","86","8.4 %","16.6 %",".153",".302",".267",".338",".420",".331","97","5.5","-23.5","29.3","21.0"
"1992","Astros","2332","6163","96","608","582","139","8.2 %","16.6 %",".113",".285",".246",".313",".359",".305","94","5.7","-34.6","38.6","20.9"
"2001","Braves","2141","6152","174","729","696","85","8.0 %","16.9 %",".152",".290",".260",".324",".412",".317","89","-3.3","-88.9","99.8","20.9"
"2005","Tigers","2211","6136","168","723","678","66","6.3 %","16.9 %",".157",".304",".272",".321",".428",".324","99","5.5","-5.1","5.9","20.9"
"1994","Orioles","1127","4386","139","589","557","69","10.0 %","14.9 %",".166",".293",".272",".349",".438",".345","102","8.2","22.2","41.4","20.8"
"2005","Rangers","2193","6301","260","865","834","67","7.9 %","17.6 %",".201",".290",".267",".329",".468",".344","106","6.2","49.1","-54.3","20.8"
"1995","Cubs","1996","5543","158","693","648","105","7.9 %","17.2 %",".165",".298",".265",".327",".430",".331","96","3.6","-26.7","51.3","20.8"
"2007","Marlins","2423","6344","201","790","749","105","8.2 %","21.0 %",".181",".315",".267",".336",".448",".340","101","3.8","9.4","-6.3","20.7"
"2006","Dodgers","2384","6394","153","820","787","128","9.4 %","15.0 %",".157",".307",".276",".348",".432",".337","101","-4.8","3.4","-2.6","20.7"
"1996","Marlins","2252","6194","150","688","650","99","8.9 %","18.1 %",".136",".296",".257",".329",".393",".318","92","-2.4","-67.0","91.2","20.7"
"1990","Mariners","1824","6207","107","640","610","105","9.6 %","12.1 %",".114",".281",".259",".333",".373",".320","97","-1.7","-26.5","31.2","20.7"
"2000","Yankees","2061","6311","205","871","833","99","10.0 %","16.0 %",".173",".304",".277",".354",".450",".350","105","-1.5","37.1","-39.5","20.6"
"2014","Brewers","2327","6065","150","650","617","102","7.0 %","19.7 %",".147",".293",".250",".311",".397",".313","94","-12.1","-56.2","60.7","20.6"
"2001","Cubs","2271","6219","194","777","748","67","9.3 %","17.3 %",".169",".290",".261",".336",".430",".329","98","-2.6","-21.8","29.3","20.6"
"2010","Athletics","2255","6117","109","663","619","156","8.6 %","17.3 %",".122",".297",".256",".324",".378",".313","95","17.8","-20.6","0.6","20.6"
"2005","Devil Rays","2245","6120","157","750","717","151","6.7 %","16.2 %",".151",".306",".274",".329",".425",".327","101","10.3","15.0","-16.4","20.6"
"1994","Expos","1576","4514","108","585","542","137","8.4 %","14.8 %",".158",".307",".278",".343",".435",".339","99","11.7","5.9","54.2","20.6"
"2004","Athletics","2217","6459","189","793","752","47","9.4 %","16.4 %",".163",".300",".270",".343",".433",".337","102","-5.8","10.7","-20.0","20.6"
"2000","Blue Jays","1871","6326","244","861","826","89","8.3 %","16.2 %",".194",".297",".275",".341",".469",".350","101","2.9","9.4","-15.1","20.6"
"2002","Braves","2319","6224","164","708","669","76","9.0 %","16.5 %",".150",".290",".260",".331",".409",".322","94","-7.9","-57.8","60.4","20.5"
"2019","Red Sox","1532","4221","160","611","580","53","9.4 %","20.8 %",".198",".318",".275",".347",".473",".344","111","0.9","58.5","3.4","20.5"
"1991","Cardinals","2150","6020","68","651","599","202","8.8 %","14.2 %",".102",".289",".255",".322",".357",".307","92","-3.2","-55.1","58.4","20.5"
"2012","Tigers","2248","6119","163","726","698","59","8.4 %","18.0 %",".154",".307",".268",".335",".422",".328","105","-17.8","15.4","-28.4","20.5"
"1992","Reds","2191","6162","99","660","606","125","9.1 %","14.4 %",".122",".291",".260",".328",".382",".319","98","-1.4","-13.3","10.5","20.5"
"2015","Yankees","2401","6268","212","764","737","63","8.8 %","19.6 %",".170",".283",".251",".323",".421",".323","103","3.0","25.3","-37.2","20.5"
"1990","Cardinals","2201","6127","73","599","554","221","8.4 %","13.8 %",".102",".288",".256",".320",".358",".306","86","12.6","-88.0","72.6","20.4"
"1991","Padres","2171","6057","121","636","591","101","8.3 %","17.6 %",".118",".282",".244",".310",".362",".302","87","-5.3","-96.3","99.7","20.4"
"1990","Reds","2145","6163","125","693","644","166","7.6 %","14.8 %",".134",".296",".265",".325",".399",".322","94","4.9","-37.7","17.0","20.3"
"2012","Red Sox","2317","6166","165","734","695","97","6.9 %","19.4 %",".155",".301",".260",".315",".415",".316","95","2.6","-37.1","20.7","20.3"
"2005","Padres","2380","6271","130","684","655","99","9.6 %","15.6 %",".134",".289",".257",".333",".391",".318","98","-0.3","-19.8","17.7","20.3"
"1996","Padres","2181","6419","147","771","718","109","9.4 %","15.8 %",".137",".297",".265",".338",".402",".325","101","-4.5","-0.1","17.4","20.3"
"2003","Rangers","2311","6293","239","826","799","65","7.8 %","16.7 %",".188",".287",".266",".330",".454",".338","99","7.8","-1.8","-9.5","20.2"
"2012","White Sox","2277","6111","211","748","726","109","7.5 %","19.7 %",".167",".289",".255",".318",".422",".322","98","-7.0","-18.2","3.2","20.2"
"2003","Angels","2286","6119","150","736","687","129","7.8 %","13.7 %",".144",".291",".268",".330",".413",".323","96","-4.9","-32.9","27.1","20.2"
"2006","Marlins","2354","6191","182","758","713","110","8.0 %","20.2 %",".171",".309",".264",".331",".435",".329","96","12.6","-18.2","20.0","20.2"
"1997","Cardinals","2187","6212","144","689","654","164","8.7 %","19.2 %",".141",".299",".255",".324",".396",".317","87","7.4","-92.7","98.6","20.1"
"1993","Rangers","1759","6166","181","835","780","113","7.8 %","16.0 %",".164",".293",".267",".329",".431",".334","103","-4.0","17.2","-12.0","20.1"
"2017","Diamondbacks","2360","6224","220","812","776","103","9.3 %","23.4 %",".190",".306",".254",".329",".445",".329","95","12.4","-27.9","27.1","20.1"
"1995","Orioles","1566","5531","173","704","668","92","10.4 %","14.5 %",".166",".280",".262",".342",".428",".340","99","-2.6","-9.6","23.8","19.9"
"2014","Rays","2352","6205","117","612","586","63","8.5 %","18.1 %",".120",".287",".247",".317",".367",".305","97","1.0","-19.9","6.2","19.9"
"1997","Rockies","2232","6338","239","923","869","137","8.9 %","16.7 %",".190",".316",".288",".357",".478",".363","95","-0.1","-43.3","43.5","19.9"
"2006","Reds","2335","6296","217","749","718","124","9.8 %","18.9 %",".175",".290",".257",".336",".432",".332","94","16.4","-36.5","31.1","19.8"
"2009","Reds","2314","6187","158","673","637","96","8.6 %","18.2 %",".147",".282",".247",".318",".394",".313","84","5.2","-118.5","123.3","19.8"
"2017","Angels","2392","6073","186","710","678","136","8.6 %","19.7 %",".155",".277",".243",".315",".397",".307","93","1.4","-54.6","44.3","19.8"
"1991","Blue Jays","1753","6167","133","684","649","148","8.1 %","16.9 %",".143",".292",".257",".322",".400",".322","98","8.5","-9.7","3.0","19.8"
