playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
cuccito01,622.0,742.0,30.0,0.28519927899058684,0.40817144001602246,0.0,1136.0,202.0,4.0,0
cullero01,615.0,590.0,24.0,0.2762329485834208,0.4325813221406086,0.0,0.0,31.0,0.0,0
cunnijo01,524.0,436.0,16.0,0.29215159653834677,0.41778573560131305,0.0,0.0,0.0,0.0,0
cutshge01,557.0,579.0,258.0,0.26551516368748745,0.3472584856396867,0.0,1311.0,5.0,1.0,0
cuyleki01,974.0,825.0,271.0,0.33070866141732286,0.5023218251564708,0.0,0.0,0.0,0.0,1
danniha01,360.0,393.0,13.0,0.2882758620689655,0.4189655172413793,776.0,0.0,0.0,0.0,0
darkal01,898.0,631.0,56.0,0.29239167519617876,0.42101671784373934,0.0,26.0,13.0,1383.0,0
daubeja01,727.0,459.0,198.0,0.3016309687561407,0.390253487915111,0.0,0.0,0.0,0.0,0
daultda01,425.0,514.0,41.0,0.24478665383381457,0.425088225858197,935.0,0.0,0.0,0.0,0
davisch01,735.0,752.0,111.0,0.2687535789272762,0.4319526627218935,0.0,0.0,0.0,0.0,0
daviser01,646.0,632.0,301.0,0.26153846153846155,0.4827972027972028,0.0,0.0,0.0,0.0,0
davisgl01,496.0,586.0,28.0,0.2629055007052186,0.476163610719323,0.0,0.0,0.0,0.0,0
davisjo02,364.0,489.0,7.0,0.2459938150126511,0.40539780714084905,1035.0,0.0,0.0,0.0,0
davisto02,590.0,733.0,106.0,0.29522081064730793,0.4212542851381327,0.0,0.0,145.0,0.0,0
daviswi02,745.0,609.0,275.0,0.2730547550432277,0.40237752161383283,0.0,0.0,0.0,0.0,0
dawsoan01,819.0,831.0,252.0,0.2805340068554934,0.47862168500811836,0.0,0.0,0.0,0.0,1
decindo01,591.0,638.0,52.0,0.2642971064023696,0.45112781954887216,0.0,41.0,1160.0,17.0,0
deerro01,564.0,588.0,42.0,0.22064617809298662,0.44129235618597323,0.0,0.0,0.0,0.0,0
delgaca01,946.0,1138.0,8.0,0.28773318258903335,0.5662332768042209,0.0,0.0,0.0,0.0,0
demarfr02,565.0,570.0,32.0,0.3009364717792964,0.4201467982789167,0.0,0.0,0.0,0.0,0
deshide01,713.0,428.0,393.0,0.26943444185553905,0.3732260114382546,0.0,1239.0,0.0,10.0,0
dickebi01,684.0,897.0,26.0,0.32222472416122494,0.5100202657059221,1180.0,0.0,0.0,0.0,1
dimagdo01,1046.0,618.0,100.0,0.297853468156821,0.4190172077346106,0.0,0.0,0.0,0.0,0
dimagjo01,1146.0,1277.0,30.0,0.33036191834551615,0.5890533071848815,0.0,0.0,0.0,0.0,1
dimagvi01,487.0,581.0,79.0,0.25164864151938804,0.4178317066737009,0.0,1.0,1.0,1.0,0
dobyla01,910.0,910.0,46.0,0.2853107344632768,0.4963680387409201,0.0,0.0,0.0,0.0,1
doerrbo01,746.0,834.0,44.0,0.285288862418106,0.4468929918602343,0.0,1320.0,0.0,0.0,1
doranbi02,709.0,485.0,203.0,0.26658624849215923,0.37575392038600725,0.0,1316.0,4.0,16.0,0
douthta01,640.0,383.0,64.0,0.29322548028311424,0.3857431749241658,0.0,0.0,0.0,0.0,0
downibr01,583.0,525.0,31.0,0.26686656671664166,0.40879560219890054,648.0,0.0,0.0,0.0,0
driesda01,577.0,585.0,144.0,0.2696328713834184,0.41453926574276684,0.0,0.0,213.0,0.0,0
durhale01,506.0,521.0,106.0,0.2798258345428157,0.4798258345428157,0.0,0.0,0.0,0.0,0
durhara01,983.0,604.0,242.0,0.2789030292167055,0.4352034414769672,0.0,1358.0,0.0,0.0,0
